"Enabled", "Abilitato"
"Public API Key", "Chiave API pubblica"
"Private API Key", "Chiave API privata"
"Product Simulator Enabled", "Product Simulator abilitato"
" Yes", " sì"
" No", " No"
"Testing or Production", "Test o produzione"
" Production", " Produzione"
" Testing", " analisi"
"How to open the payment", "Come aprire il pagamento"
"Product simulator location", "Posizione del simulatore di prodotto"
"Product simulator", "Simulatore di prodotto"
"Checkout simulator", "Simulatore di cassa"
"PaymentMethod Order", "Ordine di pagamento"
" Do not show", " Non mostrare"
" Complete", " Completare"
" Mini (Recomended)", " Mini (consigliato)"
" Selector", " Selettore"
" Descriptive Text", " Testo descrittivo"
"Minimum cart amount (ex: 24.99)", "Importo minimo del carrello (es: 24,99)"
"Finance with Pagantis", "Finanziare con Pagantis"
"Checkout Pay Option Title", "Checkout Pay Option Titolo"
"Checkout Progress Title", "Titolo di avanzamento del checkout"
"Finance with Pagantis", "Finanziare con Pagantis"
"Success Url", "URL di successo"
"Failure Url", "Url di errore"
"Number of default installments", "Numero di rate predefinite"
"Are you sure you want to leave?", "Sei sicuro di voler andare via?"
"Instant financing - 100% online", "Finanziamento istantaneo - 100% online"
"Pagantis is an online financing platform.", "Pagantis è una piattaforma di finanziamento online."
"Login to the Pagantis panel", "Accedi al pannello di Pagantis"
"Documentation", "Documentazione"
"Module Enabled", "Modulo Abilitato"
"Public API Key", "Chiave API pubblica"
"Private API Key", "Chiave API privata"
"Product Simulator Enabled", "Product Simulator abilitato"
"Instant financing", "Finanziamento istantaneo"
