"Enabled", "ativado"
" Yes", " sim"
" No", " Não"
"Testing or Production", "Teste ou Produção"
" Production", " Produção"
" Testing", " Testando"
"How to open the payment", "Como abrir o pagamento"
"Product simulator location", "Localização do simulador de produtos"
"Product simulator", "Simulador de produtos"
"Checkout simulator", "Simulador de checkout"
"PaymentMethod Order", "Ordem do método de pagamento"
" Do not show", " Não mostre"
" Complete", " Completo"
" Mini (Recomended)", " Mini (recomendado)"
" Selector", " Seletor"
" Descriptive Text", " Texto descritivo"
"Minimum cart amount (ex: 24.99)", "Quantidade mínima de carrinho (ex .: 24,99)"
"Finance with Paga+Tarde", "Finanças com Paga + Tarde"
"Checkout Pay Option Title", "Título da Opção de Pagamento de Checkout"
"Checkout Progress Title", "Título do Progresso da Compra"
"Finance with Paga+Tarde", "Finanças com Paga + Tarde"
"Success Url", "URL de sucesso"
"Failure Url", "URL de falha"
"Number of default installments", "Número de parcelas padrão"
"Are you sure you want to leave?", "Você tem certeza de que quer sair?"
"Instant financing - 100% online", "Financiamento instantâneo - 100% online"
"Paga+Tarde is an online financing platform.", "Paga + Tarde é uma plataforma de financiamento online."
"Login to the Paga+Tarde pannel", "Faça o login no painel Paga + Tarde"
"Documentation", "Documentação"
